transaction_id,account_id,customer_id,transaction_date,amount,transaction_type,counterparty_name,counterparty_country,channel,full_name,risk_rating,country_of_residence
TXN000020,ACCT00065,CUST0036,2025-01-04 00:00:00,1042.35,WireTransfer,Mary Moore,Germany,Online,Mia Scott,Medium,UAE
TXN000021,ACCT00055,CUST0031,2025-01-04 00:00:00,2695.54,CashDeposit,Crown Imports,Singapore,Branch,David Ramirez,Low,France
TXN000022,ACCT00329,CUST0200,2025-01-04 00:00:00,341.43,Withdrawal,Delta Traders,Singapore,ATM,Linda Moore,Low,Spain
TXN000023,ACCT00110,CUST0063,2025-01-04 00:00:00,337.73,Withdrawal,Lucas King,Canada,Wire,Diego Smith,Low,Ireland
TXN000024,ACCT00133,CUST0078,2025-01-04 00:00:00,1204.18,ACH,Ava Flores,Germany,ATM,Thomas Thomas,Medium,France
TXN000025,ACCT00288,CUST0174,2025-01-04 00:00:00,110.71,WireTransfer,Lucas Torres,India,ATM,Emma Davis,Low,United Kingdom
TXN000026,ACCT00263,CUST0158,2025-01-04 00:00:00,613.46,WireTransfer,Metro Group,United Kingdom,ATM,Thomas Smith,Low,France
TXN000027,ACCT00298,CUST0180,2025-01-04 00:00:00,1249.06,Deposit,Sofia Robinson,United Kingdom,Branch,Patricia Perez,Low,United Kingdom
TXN000028,ACCT00201,CUST0122,2025-01-04 00:00:00,522.44,CashDeposit,Mia Davis,UAE,Branch,William Smith,Low,India
TXN000029,ACCT00187,CUST0112,2025-01-04 00:00:00,411.79,WireTransfer,Prime Exchange,India,Wire,Joseph White,Low,France
TXN000030,ACCT00059,CUST0033,2025-01-04 00:00:00,3209.87,CashDeposit,Chloe Lee,Spain,Branch,Jessica Hernandez,Low,India
TXN000031,ACCT00110,CUST0063,2025-01-05 00:00:00,173.13,Deposit,Camila Smith,Australia,Wire,Diego Smith,Low,Ireland
TXN000032,ACCT00060,CUST0033,2025-01-05 00:00:00,2911.84,Withdrawal,Nova Freight,India,Wire,Jessica Hernandez,Low,India
TXN000033,ACCT00062,CUST0034,2025-01-05 00:00:00,619.18,Deposit,Fatima Garcia,UAE,Wire,William Harris,Low,Japan
TXN000034,ACCT00157,CUST0095,2025-01-05 00:00:00,1312.09,Withdrawal,Liam Wilson,Singapore,ATM,Ahmed Sanchez,Medium,Canada
TXN000035,ACCT00291,CUST0176,2025-01-05 00:00:00,302.07,WireTransfer,David Hernandez,United Kingdom,Wire,Michael Young,Low,France
TXN000036,ACCT00189,CUST0114,2025-01-05 00:00:00,257.66,Withdrawal,Summit Imports,Japan,ATM,Emma Miller,Low,Netherlands
TXN000037,ACCT00235,CUST0141,2025-01-05 00:00:00,508.26,Withdrawal,Elizabeth Brown,India,Wire,Charles King,Medium,India
TXN000038,ACCT00285,CUST0173,2025-01-05 00:00:00,1065.87,CashDeposit,Arjun Miller,Singapore,Branch,Karen Clark,Low,United Kingdom
TXN000039,ACCT00025,CUST0013,2025-01-05 00:00:00,115.18,CashDeposit,Elizabeth Clark,Myanmar,Online,Jennifer Brown,High,Ireland
TXN000040,ACCT00206,CUST0126,2025-01-06 00:00:00,986.14,ACH,David Anderson,UAE,Branch,Elizabeth Jones,Low,United Kingdom
TXN000041,ACCT00144,CUST0086,2025-01-06 00:00:00,825.77,CashDeposit,Mia Green,Canada,Online,Olga Hernandez,Low,Singapore
TXN000042,ACCT00304,CUST0185,2025-01-06 00:00:00,5701.49,WireTransfer,Wei Jones,Ireland,Wire,Sven Wright,Low,UAE
TXN000043,ACCT00014,CUST0007,2025-01-06 00:00:00,508.32,Deposit,Olga Robinson,Myanmar,ATM,Wei Wilson,High,Netherlands
TXN000044,ACCT00002,CUST0001,2025-01-06 00:00:00,5000.0,CashDeposit,Richard Moore,Myanmar,Branch,Mateo Clark,High,Ireland
TXN000045,ACCT00227,CUST0136,2025-01-06 00:00:00,200.36,Deposit,Charles Ramirez,Netherlands,ATM,James Scott,Low,Japan
TXN000046,ACCT00252,CUST0151,2025-01-06 00:00:00,1210.44,Withdrawal,Anchor Trading,Spain,Online,Olga Garcia,Medium,Spain
TXN000047,ACCT00210,CUST0129,2025-01-06 00:00:00,260.73,CashDeposit,Noah Harris,France,Branch,Robert Ramirez,Medium,Netherlands
TXN000048,ACCT00314,CUST0191,2025-01-06 00:00:00,672.42,Deposit,Pacific Partners,Spain,Online,Liam Flores,Low,Canada
TXN000049,ACCT00137,CUST0082,2025-01-06 00:00:00,799.39,WireTransfer,Barbara Taylor,UAE,Online,Sven Brown,Low,Spain
TXN000050,ACCT00078,CUST0042,2025-01-06 00:00:00,2289.51,Deposit,Emma Ramirez,United Kingdom,Branch,Arjun Jones,Low,India
TXN000051,ACCT00041,CUST0023,2025-01-06 00:00:00,78280.32,WireTransfer,Horizon Trading,Afghanistan,Wire,Richard Martin,High,India
TXN000052,ACCT00141,CUST0084,2025-01-06 00:00:00,539.45,WireTransfer,Nova Trading,Singapore,Online,Ahmed Clark,Low,UAE
TXN000053,ACCT00309,CUST0188,2025-01-06 00:00:00,338.24,WireTransfer,Robert Hernandez,Canada,Online,Noah Sanchez,Low,Switzerland
TXN000054,ACCT00113,CUST0066,2025-01-06 00:00:00,3679.8,Deposit,Elizabeth Jackson,United States,ATM,Charles Torres,Low,Germany
TXN000055,ACCT00028,CUST0015,2025-01-07 00:00:00,1221.17,Deposit,Jennifer Hill,Venezuela,Online,Sofia Smith,High,Ireland
TXN000056,ACCT00170,CUST0103,2025-01-07 00:00:00,1173.73,Withdrawal,Summit Holdings,United Kingdom,Branch,Emma Wilson,Low,Ireland
TXN000057,ACCT00153,CUST0092,2025-01-07 00:00:00,133.85,ACH,Silver Holdings,Australia,Wire,Elizabeth Thomas,Medium,India
TXN000058,ACCT00319,CUST0195,2025-01-07 00:00:00,100.73,Deposit,Jennifer Gonzalez,Germany,Wire,Jennifer Garcia,Low,Canada
TXN000059,ACCT00008,CUST0003,2025-01-07 00:00:00,880.04,Deposit,Summit Traders,Afghanistan,ATM,Ahmed Miller,High,Ireland
TXN000060,ACCT00001,CUST0001,2025-01-07 00:00:00,20000.0,WireTransfer,Camila Williams,Japan,Branch,Mateo Clark,High,Ireland
TXN000061,ACCT00102,CUST0058,2025-01-07 00:00:00,240.85,Withdrawal,Ethan Young,India,Wire,Joseph Anderson,Medium,Switzerland
TXN000062,ACCT00277,CUST0167,2025-01-07 00:00:00,795.28,CashDeposit,Ethan Harris,Ireland,Branch,Ava King,Low,Spain
TXN000063,ACCT00289,CUST0174,2025-01-07 00:00:00,359.85,Withdrawal,Global Ventures,Switzerland,Branch,Emma Davis,Low,United Kingdom
TXN000064,ACCT00200,CUST0122,2025-01-07 00:00:00,297.58,WireTransfer,Noah Lewis,United States,Online,William Smith,Low,India
TXN000065,ACCT00080,CUST0043,2025-01-07 00:00:00,721.86,WireTransfer,Ava Williams,Japan,Wire,John Scott,Low,Singapore
TXN000066,ACCT00324,CUST0198,2025-01-07 00:00:00,695.31,Deposit,Jessica Moore,Germany,ATM,Patricia Jackson,Low,France
TXN000067,ACCT00268,CUST0160,2025-01-07 00:00:00,295.18,Withdrawal,Karen Wright,Switzerland,Wire,Thomas Robinson,Low,Spain
TXN000068,ACCT00020,CUST0010,2025-01-07 00:00:00,93443.96,WireTransfer,Falcon Capital,Iran,Wire,Arjun Wilson,High,Switzerland
TXN000069,ACCT00277,CUST0167,2025-01-07 00:00:00,1200.41,WireTransfer,Sven Taylor,United Kingdom,Wire,Ava King,Low,Spain
TXN000070,ACCT00146,CUST0087,2025-01-08 00:00:00,806.12,WireTransfer,Karen King,United States,ATM,Mia Nguyen,Medium,Canada
TXN000071,ACCT00062,CUST0034,2025-01-08 00:00:00,546.56,Withdrawal,Anchor Imports,Netherlands,ATM,William Harris,Low,Japan
TXN000072,ACCT00142,CUST0085,2025-01-08 00:00:00,316.71,Withdrawal,Jennifer Young,Singapore,ATM,Emma Anderson,Low,Japan
TXN000073,ACCT00297,CUST0179,2025-01-08 00:00:00,609.56,Deposit,Crown Holdings,Canada,Wire,Linda Robinson,Medium,Switzerland
TXN000074,ACCT00255,CUST0154,2025-01-08 00:00:00,105.0,CashDeposit,Elizabeth Gonzalez,Ireland,Wire,William Martin,Low,United States
TXN000075,ACCT00279,CUST0169,2025-01-08 00:00:00,904.71,Withdrawal,Mary Jones,United Kingdom,Online,Olga Torres,Low,Canada
TXN000076,ACCT00062,CUST0034,2025-01-08 00:00:00,469.07,ACH,Emma White,Australia,Online,William Harris,Low,Japan
TXN000077,ACCT00322,CUST0197,2025-01-08 00:00:00,216.98,WireTransfer,Susan Smith,United States,ATM,Linda Clark,Low,Spain
TXN000078,ACCT00068,CUST0037,2025-01-08 00:00:00,984.45,WireTransfer,Richard Wilson,Germany,Wire,Noah King,Medium,United Kingdom
TXN000079,ACCT00319,CUST0195,2025-01-08 00:00:00,603.57,Withdrawal,Falcon Ventures,United Kingdom,ATM,Jennifer Garcia,Low,Canada
TXN000080,ACCT00162,CUST0097,2025-01-08 00:00:00,1182.29,WireTransfer,Mateo Jackson,Canada,ATM,Mateo Ramirez,Low,Canada
TXN000081,ACCT00079,CUST0042,2025-01-08 00:00:00,175.7,Deposit,Camila White,Netherlands,Online,Arjun Jones,Low,India
TXN000082,ACCT00244,CUST0146,2025-01-08 00:00:00,385.35,ACH,Karen Anderson,Netherlands,Branch,Yuki Lee,Medium,UAE
TXN000083,ACCT00329,CUST0200,2025-01-08 00:00:00,362.32,Withdrawal,Richard Rodriguez,Switzerland,ATM,Linda Moore,Low,Spain
TXN000084,ACCT00317,CUST0193,2025-01-08 00:00:00,949.02,WireTransfer,Ethan Smith,Germany,Branch,Yuki Sanchez,Low,UAE
TXN000085,ACCT00003,CUST0002,2025-01-09 00:00:00,373.57,WireTransfer,Mary Flores,Japan,ATM,William Ramirez,High,Yemen
TXN000086,ACCT00256,CUST0155,2025-01-09 00:00:00,790.41,ACH,Olga Hernandez,India,Wire,Wei White,Low,United Kingdom
TXN000087,ACCT00304,CUST0185,2025-01-09 00:00:00,1680.53,ACH,Jennifer Martinez,Japan,Branch,Sven Wright,Low,UAE
TXN000088,ACCT00222,CUST0134,2025-01-09 00:00:00,432.37,Deposit,Summit Freight,Canada,ATM,Sven Young,Low,Spain
TXN000089,ACCT00327,CUST0200,2025-01-09 00:00:00,124.85,ACH,Summit Holdings,Ireland,ATM,Linda Moore,Low,Spain
TXN000090,ACCT00261,CUST0157,2025-01-09 00:00:00,677.78,CashDeposit,Charles Taylor,Ireland,ATM,Jessica Young,Low,United Kingdom
TXN000091,ACCT00200,CUST0122,2025-01-09 00:00:00,617.73,Deposit,Liam Torres,Netherlands,Online,William Smith,Low,India
TXN000092,ACCT00169,CUST0102,2025-01-09 00:00:00,804.05,ACH,Michael Lewis,Australia,Wire,Chloe Harris,Low,United States
TXN000093,ACCT00268,CUST0160,2025-01-09 00:00:00,2882.87,Deposit,Silver Imports,India,Online,Thomas Robinson,Low,Spain
TXN000094,ACCT00137,CUST0082,2025-01-09 00:00:00,820.29,CashDeposit,Ahmed Taylor,UAE,Branch,Sven Brown,Low,Spain
TXN000095,ACCT00301,CUST0183,2025-01-09 00:00:00,507.61,Withdrawal,Michael Wilson,Japan,ATM,Thomas Lopez,Low,United Kingdom
TXN000096,ACCT00270,CUST0162,2025-01-10 00:00:00,229.01,Deposit,Diego Miller,France,Branch,Olga Moore,Low,Ireland
TXN000097,ACCT00108,CUST0061,2025-01-10 00:00:00,591.07,Deposit,Atlas Imports,United States,Online,Michael Flores,Low,Australia
TXN000098,ACCT00108,CUST0061,2025-01-10 00:00:00,449.55,WireTransfer,David Martin,Germany,Branch,Michael Flores,Low,Australia
TXN000099,ACCT00310,CUST0189,2025-01-10 00:00:00,749.64,Deposit,Robert Johnson,United Kingdom,Wire,Jennifer Lee,Low,United Kingdom
TXN000100,ACCT00050,CUST0029,2025-01-10 00:00:00,311.87,CashDeposit,Olga Hill,Spain,Branch,Sven Robinson,Low,Switzerland
TXN000101,ACCT00093,CUST0053,2025-01-10 00:00:00,3533.01,Deposit,Arjun Harris,Canada,Wire,Robert Thompson,Low,Switzerland
TXN000102,ACCT00090,CUST0050,2025-01-10 00:00:00,3318.76,ACH,Global Freight,United States,Wire,Thomas Hernandez,Medium,Singapore
TXN000103,ACCT00062,CUST0034,2025-01-10 00:00:00,433.5,Withdrawal,Prime Ventures,Singapore,Branch,William Harris,Low,Japan
TXN000104,ACCT00303,CUST0185,2025-01-11 00:00:00,880.54,WireTransfer,Union Logistics,United Kingdom,ATM,Sven Wright,Low,UAE
TXN000105,ACCT00253,CUST0152,2025-01-11 00:00:00,827.18,WireTransfer,Diego Ramirez,India,Online,Arjun Young,Medium,United States
TXN000106,ACCT00202,CUST0123,2025-01-11 00:00:00,181.98,CashDeposit,Horizon Holdings,Singapore,Branch,Robert Anderson,Low,UAE
TXN000107,ACCT00270,CUST0162,2025-01-11 00:00:00,4538.57,WireTransfer,Sofia Jones,Singapore,Online,Olga Moore,Low,Ireland
TXN000108,ACCT00113,CUST0066,2025-01-11 00:00:00,2125.75,Withdrawal,Linda Perez,Switzerland,Wire,Charles Torres,Low,Germany
TXN000109,ACCT00120,CUST0071,2025-01-11 00:00:00,223.54,CashDeposit,Union Imports,France,Branch,Jessica Martin,Low,Ireland
TXN000110,ACCT00245,CUST0146,2025-01-11 00:00:00,809.41,Deposit,Thomas Thomas,Germany,Branch,Yuki Lee,Medium,UAE
TXN000111,ACCT00287,CUST0173,2025-01-11 00:00:00,688.64,Deposit,William Perez,India,Wire,Karen Clark,Low,United Kingdom
TXN000112,ACCT00048,CUST0028,2025-01-11 00:00:00,5000.0,WireTransfer,Chloe Green,Spain,Branch,Sven Gonzalez,Low,Canada
TXN000113,ACCT00209,CUST0128,2025-01-11 00:00:00,2164.03,Deposit,Arjun Thompson,Australia,Branch,Olga Moore,Low,Singapore
TXN000114,ACCT00181,CUST0108,2025-01-12 00:00:00,793.74,WireTransfer,Mateo Rodriguez,Germany,Wire,Diego Torres,Low,Australia
TXN000115,ACCT00251,CUST0151,2025-01-12 00:00:00,1283.52,Deposit,Sarah Jackson,Japan,Wire,Olga Garcia,Medium,Spain
TXN000116,ACCT00026,CUST0013,2025-01-12 00:00:00,22634.08,WireTransfer,William Flores,North Korea,Wire,Jennifer Brown,High,Ireland
TXN000117,ACCT00322,CUST0197,2025-01-12 00:00:00,336.8,CashDeposit,Elizabeth Thomas,Japan,Branch,Linda Clark,Low,Spain
TXN000118,ACCT00231,CUST0138,2025-01-12 00:00:00,1816.37,ACH,Liam Martin,France,Wire,Sofia Rodriguez,Medium,India
TXN000119,ACCT00038,CUST0021,2025-01-12 00:00:00,814.78,CashDeposit,Thomas Scott,Iran,Online,Tatiana Orlova,High,Libya
TXN000120,ACCT00201,CUST0122,2025-01-12 00:00:00,557.37,CashDeposit,Wei Walker,Singapore,Wire,William Smith,Low,India
TXN000121,ACCT00271,CUST0163,2025-01-12 00:00:00,930.89,CashDeposit,John Scott,Switzerland,ATM,Emma Jackson,Low,Germany
TXN000122,ACCT00146,CUST0087,2025-01-12 00:00:00,541.46,CashDeposit,Ethan Davis,Canada,Branch,Mia Nguyen,Medium,Canada
TXN000123,ACCT00088,CUST0048,2025-01-12 00:00:00,1800.91,Deposit,Jennifer King,Switzerland,Wire,Thomas King,Low,Spain
TXN000124,ACCT00026,CUST0013,2025-01-12 04:00:00,21633.03,WireTransfer,Karen Thomas,North Korea,Wire,Jennifer Brown,High,Ireland
TXN000125,ACCT00293,CUST0177,2025-01-13 00:00:00,1353.64,Withdrawal,David Jones,Spain,Wire,Fatima Wilson,Low,Spain
TXN000126,ACCT00213,CUST0130,2025-01-13 00:00:00,1408.92,Withdrawal,Elizabeth Sanchez,Japan,ATM,Lucas Hill,Low,Ireland
TXN000127,ACCT00223,CUST0134,2025-01-13 00:00:00,623.49,ACH,Diego Johnson,Australia,Wire,Sven Young,Low,Spain
TXN000128,ACCT00085,CUST0047,2025-01-13 00:00:00,647.23,ACH,Delta Exchange,Ireland,Wire,Sarah Jackson,Low,Germany
TXN000129,ACCT00163,CUST0098,2025-01-13 00:00:00,459.77,WireTransfer,Fatima Walker,Australia,ATM,Sven Young,Medium,Switzerland
TXN000130,ACCT00172,CUST0104,2025-01-13 00:00:00,5661.15,WireTransfer,Diego Wilson,Ireland,Wire,Sarah Torres,Low,Canada
TXN000131,ACCT00048,CUST0028,2025-01-13 00:00:00,2466.47,ACH,Global Logistics,United States,ATM,Sven Gonzalez,Low,Canada
TXN000132,ACCT00261,CUST0157,2025-01-14 00:00:00,456.55,ACH,Sofia Lee,Japan,ATM,Jessica Young,Low,United Kingdom
TXN000133,ACCT00095,CUST0054,2025-01-14 00:00:00,1271.92,WireTransfer,Wei Clark,Canada,Wire,Sofia Clark,Low,UAE
TXN000134,ACCT00258,CUST0155,2025-01-14 00:00:00,173.46,CashDeposit,John Green,France,Wire,Wei White,Low,United Kingdom
TXN000135,ACCT00305,CUST0186,2025-01-14 00:00:00,688.58,CashDeposit,Delta Holdings,Canada,ATM,Fatima King,Low,Canada
TXN000136,ACCT00242,CUST0145,2025-01-14 00:00:00,422.8,WireTransfer,David Wright,United Kingdom,ATM,Mateo Walker,Medium,Australia
TXN000137,ACCT00118,CUST0070,2025-01-15 00:00:00,770.31,Deposit,Crown Holdings,Spain,ATM,Jennifer Jackson,Low,Switzerland
TXN000138,ACCT00099,CUST0057,2025-01-15 00:00:00,206.46,WireTransfer,Jessica White,Germany,ATM,Robert Walker,Low,India
TXN000139,ACCT00030,CUST0017,2025-01-15 00:00:00,114.11,WireTransfer,Emma Scott,Myanmar,Online,Thomas King,High,Spain
TXN000140,ACCT00111,CUST0064,2025-01-15 00:00:00,589.7,ACH,Anchor Freight,Ireland,Wire,Diego Jones,Low,Netherlands
TXN000141,ACCT00032,CUST0018,2025-01-15 00:00:00,1668.75,ACH,Joseph Wilson,Myanmar,Branch,Amara Solis,High,Syria
TXN000142,ACCT00095,CUST0054,2025-01-15 00:00:00,303.42,CashDeposit,Wei Hill,United Kingdom,Branch,Sofia Clark,Low,UAE
TXN000143,ACCT00150,CUST0090,2025-01-15 00:00:00,1055.93,Withdrawal,Prime Capital,Spain,Branch,Jennifer Walker,Low,UAE
TXN000144,ACCT00206,CUST0126,2025-01-15 00:00:00,289.15,Deposit,Metro Trading,Japan,ATM,Elizabeth Jones,Low,United Kingdom
TXN000145,ACCT00019,CUST0009,2025-01-16 00:00:00,176.52,Withdrawal,William Robinson,Myanmar,ATM,Patricia Anderson,High,North Korea
TXN000146,ACCT00278,CUST0168,2025-01-16 00:00:00,2843.0,ACH,Sunrise Group,Netherlands,Online,Charles Perez,Low,United Kingdom
TXN000147,ACCT00328,CUST0200,2025-01-16 00:00:00,2198.39,Deposit,Ava Ramirez,United States,Wire,Linda Moore,Low,Spain
TXN000148,ACCT00279,CUST0169,2025-01-16 00:00:00,2571.39,CashDeposit,James Torres,UAE,Wire,Olga Torres,Low,Canada
TXN000149,ACCT00026,CUST0013,2025-01-16 00:00:00,4942.24,WireTransfer,Falcon Freight,North Korea,Wire,Jennifer Brown,High,Ireland
TXN000150,ACCT00319,CUST0195,2025-01-16 00:00:00,314.08,Deposit,Arjun Johnson,India,ATM,Jennifer Garcia,Low,Canada
TXN000151,ACCT00192,CUST0116,2025-01-16 00:00:00,1417.7,ACH,Fatima Taylor,France,Online,John Sanchez,Low,Canada
TXN000152,ACCT00318,CUST0194,2025-01-17 00:00:00,69.32,CashDeposit,Olga Clark,Ireland,ATM,Thomas White,Low,Canada
TXN000153,ACCT00286,CUST0173,2025-01-17 00:00:00,274.45,ACH,Emma Miller,United States,ATM,Karen Clark,Low,United Kingdom
TXN000154,ACCT00249,CUST0149,2025-01-17 00:00:00,379.2,Deposit,Mary Johnson,Ireland,Branch,Michael Lewis,Low,United States
TXN000155,ACCT00325,CUST0198,2025-01-17 00:00:00,366.67,Deposit,Global Ventures,Netherlands,Wire,Patricia Jackson,Low,France
TXN000156,ACCT00116,CUST0068,2025-01-17 00:00:00,147.71,CashDeposit,Prime Exchange,United States,Wire,Charles Wilson,Medium,Ireland
TXN000157,ACCT00277,CUST0167,2025-01-17 00:00:00,715.65,ACH,Charles Robinson,France,ATM,Ava King,Low,Spain
TXN000158,ACCT00022,CUST0011,2025-01-17 00:00:00,734.17,ACH,Linda Thomas,North Korea,ATM,Thomas Rodriguez,High,UAE
TXN000159,ACCT00247,CUST0148,2025-01-17 00:00:00,344.83,Deposit,Karen Ramirez,Australia,Online,Elizabeth Young,Low,United Kingdom
TXN000160,ACCT00005,CUST0002,2025-01-17 00:00:00,445.69,WireTransfer,Sven White,Syria,Wire,William Ramirez,High,Yemen
TXN000161,ACCT00064,CUST0035,2025-01-17 00:00:00,995.64,Withdrawal,Global Partners,India,Branch,Diego Torres,Low,United Kingdom
TXN000162,ACCT00237,CUST0142,2025-01-17 00:00:00,560.06,WireTransfer,Yuki Sanchez,United Kingdom,Wire,Sofia Martinez,Low,Singapore
TXN000163,ACCT00247,CUST0148,2025-01-18 00:00:00,877.19,CashDeposit,Sven Miller,Switzerland,Online,Elizabeth Young,Low,United Kingdom
TXN000164,ACCT00031,CUST0017,2025-01-18 00:00:00,234.51,CashDeposit,Sunrise Imports,Libya,Online,Thomas King,High,Spain
TXN000165,ACCT00129,CUST0076,2025-01-18 00:00:00,377.02,Deposit,Metro Logistics,Singapore,Branch,Yuki Wright,Medium,Netherlands
TXN000166,ACCT00237,CUST0142,2025-01-18 00:00:00,1358.75,WireTransfer,Prime Trading,Japan,Online,Sofia Martinez,Low,Singapore
TXN000167,ACCT00325,CUST0198,2025-01-18 00:00:00,475.06,CashDeposit,Emma Taylor,Singapore,ATM,Patricia Jackson,Low,France
TXN000168,ACCT00287,CUST0173,2025-01-18 00:00:00,134.25,Deposit,Lucas Smith,India,Wire,Karen Clark,Low,United Kingdom
TXN000169,ACCT00159,CUST0096,2025-01-18 00:00:00,724.38,Withdrawal,Lucas Scott,Australia,Branch,Karen Flores,Low,Ireland
TXN000170,ACCT00294,CUST0177,2025-01-18 00:00:00,161.54,ACH,Sofia Robinson,Canada,Wire,Fatima Wilson,Low,Spain
TXN000171,ACCT00264,CUST0158,2025-01-18 00:00:00,242.11,CashDeposit,Sofia Lopez,Switzerland,Online,Thomas Smith,Low,France
TXN000172,ACCT00079,CUST0042,2025-01-18 00:00:00,6763.73,Deposit,Mia Walker,UAE,Wire,Arjun Jones,Low,India
TXN000173,ACCT00223,CUST0134,2025-01-18 00:00:00,181.03,WireTransfer,John Jones,Singapore,Wire,Sven Young,Low,Spain
TXN000174,ACCT00319,CUST0195,2025-01-18 00:00:00,366.35,ACH,Atlas Group,United Kingdom,Online,Jennifer Garcia,Low,Canada
TXN000175,ACCT00317,CUST0193,2025-01-18 00:00:00,98.47,Withdrawal,Ava Jones,Germany,ATM,Yuki Sanchez,Low,UAE
TXN000176,ACCT00192,CUST0116,2025-01-18 00:00:00,240.64,Withdrawal,Ethan Wright,United States,Wire,John Sanchez,Low,Canada
TXN000177,ACCT00230,CUST0137,2025-01-19 00:00:00,214.29,CashDeposit,Ahmed Perez,United Kingdom,Branch,Chloe Young,Medium,India
TXN000178,ACCT00277,CUST0167,2025-01-19 00:00:00,7983.96,Deposit,Camila Walker,UAE,Branch,Ava King,Low,Spain
TXN000179,ACCT00100,CUST0057,2025-01-19 00:00:00,276.45,ACH,Diego Davis,United Kingdom,ATM,Robert Walker,Low,India
TXN000180,ACCT00241,CUST0144,2025-01-19 00:00:00,2089.35,ACH,Mary White,United States,Online,Karen Hill,Low,Switzerland
TXN000181,ACCT00184,CUST0110,2025-01-19 00:00:00,495.33,Withdrawal,Atlas Capital,Singapore,Online,Mateo Lopez,Low,Germany
TXN000182,ACCT00242,CUST0145,2025-01-20 00:00:00,893.75,Deposit,David Taylor,France,Branch,Mateo Walker,Medium,Australia
TXN000183,ACCT00170,CUST0103,2025-01-20 00:00:00,330.76,ACH,Ava Young,United Kingdom,Wire,Emma Wilson,Low,Ireland
TXN000184,ACCT00222,CUST0134,2025-01-20 00:00:00,1278.18,ACH,Prime Holdings,India,Branch,Sven Young,Low,Spain
TXN000185,ACCT00002,CUST0001,2025-01-20 00:00:00,10000.0,CashDeposit,Crown Traders,Venezuela,Branch,Mateo Clark,High,Ireland
TXN000186,ACCT00230,CUST0137,2025-01-20 00:00:00,598.11,WireTransfer,Pacific Logistics,Ireland,Wire,Chloe Young,Medium,India
TXN000187,ACCT00173,CUST0105,2025-01-20 00:00:00,112.9,WireTransfer,Elizabeth Lopez,Netherlands,Branch,Sven Young,Medium,Ireland
TXN000188,ACCT00202,CUST0123,2025-01-20 00:00:00,263.3,CashDeposit,Charles Miller,Ireland,Branch,Robert Anderson,Low,UAE
