customer_id,full_name,country_of_residence,bank_assigned_risk_rating,composite_risk_score,reason_codes,disposition
CUST0101,Jessica Garcia,India,Medium,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0110,Mateo Lopez,Germany,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0119,Camila Lewis,Spain,Medium,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0132,Mia Ramirez,Spain,Medium,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0139,Ethan Thomas,France,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0178,Fatima Scott,Australia,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0198,Patricia Jackson,France,Low,35,HIGH_RISK_COUNTRY; DORMANT_REACTIVATION;,Monitor
CUST0030,Olga Perez,Germany,Low,30,ROUND_DOLLAR_TXN; DORMANT_REACTIVATION;,Monitor
CUST0035,Diego Torres,United Kingdom,Low,30,ROUND_DOLLAR_TXN; DORMANT_REACTIVATION;,Monitor
CUST0026,John King,France,Medium,15,DORMANT_REACTIVATION;,Close
CUST0028,Sven Gonzalez,Canada,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0060,Mary Davis,United Kingdom,Medium,15,ROUND_DOLLAR_TXN;,Close
CUST0073,Lucas Gonzalez,India,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0082,Sven Brown,Spain,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0096,Karen Flores,Ireland,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0124,Joseph Taylor,Netherlands,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0130,Lucas Hill,Ireland,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0133,Wei Clark,Australia,Low,15,DORMANT_REACTIVATION;,Close
CUST0141,Charles King,India,Medium,15,DORMANT_REACTIVATION;,Close
CUST0147,Sven Williams,UAE,Low,15,DORMANT_REACTIVATION;,Close
CUST0170,Mateo Davis,Australia,Low,15,ROUND_DOLLAR_TXN;,Close
CUST0172,Sofia Lee,Germany,Low,15,DORMANT_REACTIVATION;,Close
CUST0191,Liam Flores,Canada,Low,15,ROUND_DOLLAR_TXN;,Close
